PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Calvin Johnson,DET,0,0,0,93.8,"1,578.60",12.3,1,229.7
Demaryius Thomas,DEN,0,0,0,94.8,"1,441.60",12.7,0.5,219.4
Julio Jones,ATL,4,35.5,0,92.3,"1,377.70",10.1,0.5,200.9
Dez Bryant,DAL,0.5,4,0,96,"1,323.00",11.7,1,200.9
A.J. Green,CIN,0,0,0,91.2,"1,315.20",10.5,0,194.5
Brandon Marshall,CHI,0,0,0,100.5,"1,255.10",10.7,0,189.7
Jordy Nelson,GB,0,0,0,80,"1,254.60",10.3,0.5,186.3
Alshon Jeffery,CHI,12.5,81,0.5,82.3,"1,276.50",8,1,184.8
Antonio Brown,PIT,6.5,40.5,0,103.5,"1,366.40",7.5,0.5,184.7
Randall Cobb,GB,8.5,94.5,0,86.5,"1,179.10",8,1,173.4
Vincent Jackson,TB,0.5,6,0,72.9,"1,190.70",7.8,0,166.5
Andre Johnson,HOU,0,0,0,93.2,"1,270.30",5.9,0,162.4
Larry Fitzgerald,ARI,1,5.5,0,85,"1,077.80",9,0,162.3
Michael Crabtree,SF,0.5,6,0,80.9,"1,150.50",7.7,1,159.9
Keenan Allen,SD,0,0,0,74.9,"1,077.40",8.3,1,155.5
Cordarrelle Patterson,MIN,13.5,115.5,1,71.2,949.8,6.7,0,152.7
Roddy White,ATL,0,0,0,85.6,"1,092.70",7.3,0.5,152.1
Michael Floyd,ARI,0,0,0,76.8,"1,115.40",6.6,0,151.1
Victor Cruz,NYG,0,0,0,82.7,"1,099.80",7,0.5,151
Pierre Garcon,WAS,1,9.5,0,84.8,"1,139.50",5.8,0,149.7
Emmanuel Sanders,DEN,0.5,9.5,0,73.9,"1,018.90",7.3,0,146.6
Percy Harvin,SEA,20.5,113,1,74.7,908.4,6.1,0.5,143.7
Torrey Smith,BAL,2,16.5,0,65.8,"1,070.20",6,0.5,143.7
DeSean Jackson,WAS,3.5,24,0,59.7,969.9,7.1,0.5,141
Marques Colston,NO,0,0,0,76.1,989.1,6.5,0,137.9
Julian Edelman,NE,2,17,0,85.2,970.2,6.2,0,135.9
Ty Hilton,IND,4.5,29.5,0,69.3,986.6,5.8,0.5,135.4
Golden Tate,DET,3,25,0,70.7,974.5,6.2,1,135.2
Mike Wallace,MIA,4.5,38.5,0,71.6,986.3,5.5,0.5,134.5
Jeremy Maclin,PHI,0,0,0,69.4,956.9,6.4,0.5,133.1
Kendall Wright,TEN,0.5,4,0,87.9,"1,053.60",4.8,1,132.6
Terrance Williams,DAL,2,9.5,0,60.4,914,6.4,0.5,129.8
Eric Decker,NYJ,0,0,0,65.5,918.7,6,1,125.9
Reggie Wayne,IND,0,0,0,74.1,939.7,5,0,124
Sammy Watkins,BUF,3.5,21,0,58.4,847.6,6.1,1,121.5
Kelvin Benjamin,CAR,0,0,0,57,831.7,6.2,1,118.4
Wes Welker,DEN,0,0,0,67,819.5,6.1,0.5,117.6
Rueben Randle,NYG,0,0,0,57,803,6.2,1,115.5
Brandin Cooks,NO,4.5,26,0,55.5,788,5.6,1,113
Mike Evans,TB,0,0,0,52.3,774.1,6,1,111.4
Dwayne Bowe,KC,0,0,0,63.3,791.1,5.4,0.5,110.5
Justin Hunter,TEN,0,0,0,47.9,777.8,5.2,0,109
Riley Cooper,PHI,0,0,0,51.6,779.5,5.3,1,107.8
Anquan Boldin,SF,1,7,0,60.9,791.7,4.8,0.5,107.7
DeAndre Hopkins,HOU,0,0,0,59,793.6,4.5,0.5,105.4
Jarrett Boykin,GB,0,0,0,54.1,737.3,5.3,0.5,104.5
Cecil Shorts,JAC,0,0,0,57.9,789.6,4.1,0,103.6
Brian Hartline,MIA,0,0,0,67.6,906.8,2.3,1,102.5
Hakeem Nicks,IND,0,0,0,46.7,720,4.9,0.5,100.4
Doug Baldwin,SEA,1,7,0,54.5,742.9,4.3,0.5,99.8
Kenny Stills,NO,1.5,12,0,40.7,663,5.3,0.5,98.3
Harry Douglas,ATL,0,0,0,62.3,766.8,3.3,0.5,95.5
James Jones,OAK,0,0,0,53.7,684.9,4.4,0,94.9
Greg Jennings,MIN,0,0,0,57.8,700.6,4.3,0.5,94.9
Steve Smith,BAL,0,0,0,54.4,694.9,4.2,0,94.7
Rod Streater,OAK,1,8.5,0,53,706,4.1,1,94.1
Markus Wheaton,PIT,1,8.5,0,49.4,685.5,4.2,0.5,93.6
Jordan Matthews,PHI,0,0,0,44.5,667.5,4.4,0.5,92.2
Tavon Austin,STL,12.5,130,1,45.7,593.1,2.8,1.5,92.1
Marqise Lee,JAC,1,8.5,0,45.3,639.2,4.3,1,88.6
Andrew Hawkins,CLE,5.5,35,0,55,628.8,3.5,0,87.4
Danny Amendola,NE,0,0,0,56.8,666.3,3.4,0.5,86
Kenny Britt,STL,0,0,0,44.4,617,4,0,85.7
Marvin Jones,CIN,5.5,46,0,41,563.7,4.4,1,85.4
Malcom Floyd,SD,0,0,0,41.9,604,4,0.5,83.4
Dexter McCluster,TEN,43,177,1,53,476,2,0,83.3
Jerricho Cotchery,CAR,0,0,0,48.7,628.7,3.8,1.5,82.7
Robert Woods,BUF,2,16,0,47.5,609,3.5,0.5,82.5
Odell Beckham Jr.,NYG,3,18,0,39.4,585.6,3.8,0.5,82.2
Mohamed Sanu,CIN,3,14.5,0,47.8,582.9,3.1,0,78.3
Kenbrell Thompkins,NE,0,0,0,38.4,568.5,3.4,0,77.3
Donnie Avery,KC,1.5,6,0,42.5,594.3,2.7,0,76.2
Nate Washington,TEN,0,0,0,40.5,584.3,3.1,0.5,76
Miles Austin,CLE,0,0,0,44.3,575.3,3.2,0.5,75.7
Mike Williams,BUF,0,0,0,42.6,581.5,3,0.5,75.2
Jeremy Kerley,NYJ,2.5,9.5,0,44.9,577.6,2.8,1,73.5
Lance Moore,PIT,0,0,0,46.1,574.8,2.5,0,72.5
John Brown,ARI,0,0,0,35.1,530.9,2.8,0,69.9
Andre Roberts,WAS,1.5,8.5,0,43.8,513.2,2.9,0.5,68.6
Steve Johnson,SF,0,0,0,41.2,529.9,2.7,1,67.2
Denarius Moore,OAK,0,0,0,33.3,526,2.8,1.5,66.4
Brian Quick,STL,0,0,0,34,476.3,3,0,65.6
Aaron Dobson,NE,0,0,0,33.1,456,3.3,0,65.4
Jerome Simpson,MIN,0,0,0,36.3,513.5,2.3,1,63.2
Andre Holmes,OAK,0,0,0,31.7,460.3,2.7,0,62.2
Chris Givens,STL,2,15.5,0,33.8,508.6,1.8,0.5,62.2
Paul Richardson,SEA,0,0,0,23,441.5,2.5,0,59.2
Brandon LaFell,NE,1,6,0,30.3,451.6,2.3,0.5,58.6
Davante Adams,GB,0,0,0,27.5,415.9,2.7,1,55.8
Brandon Gibson,MIA,0,0,0,35.8,426.9,2,0,54.7
Jermaine Kearse,SEA,0,0,0,26.8,402.6,2.4,0,54.7
Eddie Royal,SD,1.5,6.5,0,37.5,448,1.6,0.5,54.1
Nate Burleson,CLE,1,5,0,31.5,384,2.5,0,53.9
Marlon Brown,BAL,0,0,0,32.2,399.3,2.2,0,53.1
Jerrel Jernigan,NYG,1.5,13,0,25.9,365.8,2.5,0,52.9
Allen Robinson,JAC,0,0,0,29,409.9,2.1,1,51.6
Ted Ginn Jr.,ARI,4,24.5,0,23.4,352.1,2.3,0,51.5
Cole Beasley,DAL,0,0,0,36,386.6,2.1,0,51.3
Martavis Bryant,PIT,0,0,0,23.9,365.1,2.4,0,50.9
Jarvis Landry,MIA,0,0,0,28.9,372.8,2.4,0.5,50.7
Junior Hemingway,KC,0,0,0,27.8,362,2.4,0,50.5
Jason Avant,CAR,0,0,0,32.8,387,2.1,0.5,50.3
Greg Little,OAK,0,0,0,28.6,400.1,1.6,0,49.8
Marquess Wilson,CHI,0,0,0,25.3,360.5,2.1,0,48.8
Devin Street,DAL,0,0,0,23.5,342.5,2,0,46.3
Kevin Ogletree,DET,0,0,0,24,372,1.5,0,46.2
Cody Latimer,DEN,0,0,0,25.4,329.8,2.1,0,45.6
David Nelson,NYJ,0,0,0,27.7,330.1,1.3,0,40.8
Santonio Holmes,CHI,0,0,0,20.8,279.1,2.1,0,40.7
Joseph Morgan,NO,0,0,0,15.1,271,2.3,0,40.6
Allen Hurns,JAC,0,0,0,25,321.2,1.3,0,40.1
Andre Caldwell,DEN,0,0,0,25.4,305.3,1.5,0,39.5
Earl Bennett,CLE,0,0,0,24.8,291.8,1.5,0,38.2
Jacoby Jones,BAL,0,0,0,21.9,295.9,1.4,0,38
Stephen Hill,NYJ,0,0,0,20.5,282.1,1.6,0,37.8
Tiquan Underwood,CAR,0,0,0,15.8,234,2.3,0,36.9
Santana Moss,WAS,0,0,0,24.4,285.9,1.5,0.5,36.6
A.J. Jenkins,KC,1.5,3,0,21.2,284.1,1.3,0,36.5
Darrius Heyward-Bey,PIT,0,0,0,22,341.5,0.5,0.5,36.2
Marquise Goodwin,BUF,0,0,0,17.5,268.5,1.7,0.5,36.1
Ace Sanders,JAC,2,8,0,25.4,272.8,1.3,0,35.6
Robert Herron,TB,0,0,0,19,286.5,1,0,34.7
Robert Meachem,NO,0,0,0,13.5,255,1.5,0,34.5
Stedman Bailey,STL,0,0,0,21.5,304,0.5,0,33.4
Vincent Brown,SD,0,0,0,21.6,270.5,1,0,33.1
Keshawn Martin,HOU,0,0,0,19.9,270.3,1,0,33
Kris Durham,DET,0,0,0,20.3,258.1,1.2,0,33
Ryan Broyles,DET,0,0,0,20.6,260.6,1.1,0,32.8
Jalen Saunders,NYJ,0,0,0,18.5,237.5,1.5,0,32.8
Drew Davis,ATL,0,0,0,18.5,265.9,1,0,32.6
Louis Murphy,TB,0,0,0,18.5,264,1,0,32.4
Brandon Lloyd,SF,0,0,0,16.3,222.1,1.5,0,31.2
Kevin Norwood,SEA,0,0,0,17.5,252,1,0,31.2
Justin Brown,PIT,0,0,0,16.5,218.3,1.5,0,30.8
Damian Williams,MIA,0,0,0,18.9,247.8,1,0,30.8
Josh Huff,PHI,0,0,0,15,247.5,1,0,30.8
Arrelious Benn,PHI,0,0,0,18,258,0.8,0,30.3
Jarius Wright,MIN,0,0,0,16.1,233.1,1.1,0,30.1
Mario Manningham,NYG,0,0,0,17.5,239,1,0,29.9
DeVier Posey,HOU,0,0,0,20,243.4,0.9,0,29.7
Jon Baldwin,SF,0,0,0,18,249,0.8,0,29.4
Mike Brown,JAC,0,0,0,18,247.5,0.8,0,29.3
Austin Pettis,STL,0,0,0,19.7,219.5,1.2,0,29.2
Donte Moncrief,IND,0,0,0,14.9,242.5,0.8,0,28.8
T.J. Graham,BUF,1,11,0,15,211.2,1,0,28.2
Quinton Patton,SF,0,0,0,18,232,1,0.5,28.2
Chris Owusu,TB,0,0,0,20.2,221.2,1,0,28.1
Jeff Janis,GB,0,0,0,13.5,233.3,0.8,0,27.8
Kyle Williams,KC,0,0,0,15,236,0.5,0,26.6
Aldrick Robinson,WAS,0,0,0,13.5,205,1,0,26.5
Chris Hogan,BUF,0,0,0,15,200.5,1,0,26.1
Griff Whalen,IND,0,0,0,17,200,1,0,26
Leonard Hankerson,WAS,0,0,0,15.9,214.8,0.8,0,26
Da'Rick Rogers,IND,0,0,0,13.7,178,1.3,0,25.8
Juron Criner,OAK,0,0,0,14,183.5,1,0,24.4
Tavarres King,CAR,0,0,0,13.5,191,0.8,0,24.1
Brenton Bersin,CAR,0,0,0,10,197.5,0.5,0,22.8
Jaron Brown,ARI,0,0,0,13,196.5,0.5,0,22.7
Rishard Matthews,MIA,0,0,0,14.4,175.6,0.8,0,22.1
Travis Benjamin,CLE,0,0,0,11.6,172.9,1.1,1,22
Charles Johnson,CLE,0,0,0,13.5,188.4,0.4,0,21.1
Darius Johnson,ATL,0,0,0,12.8,165.8,0.8,0,21.1
Brice Butler,OAK,0,0,0,10.5,165.8,0.8,0,21.1
Bruce Ellington,SF,0,0,0,12,180.5,0.5,0,21.1
Josh Morgan,CHI,0,0,0,14.6,183.4,0.4,0,20.6
Marcus Harris,NYG,0,0,0,8.3,115.5,1.5,0,20.6
Derek Moye,PIT,0,0,0,11.3,159,0.8,0,20.4
Ricardo Lockette,SEA,0,0,0,13,173,0.5,0,20.3
Tevin Reese,SD,0,0,0,11.3,147,0.8,0,19.2
Mike Thomas,HOU,0,0,0,12.8,143.3,0.8,0,18.8
Nick Toon,NO,0,0,0,9.3,150.8,0.5,0,18.1
Dane Sanzenbacher,CIN,0,0,0,11,129.5,0.5,0,16
Greg Salas,NYJ,0,0,0,11.3,158.3,0,0,15.8
Alan Bonner,HOU,0,0,0,10.5,158.3,0,0,15.8
Myles White,GB,0,0,0,9.1,112.6,0.6,0,15
Devin Hester,ATL,0,0,0,7,122.1,0.4,0,14.5
Jacoby Ford,NYJ,0,0,0,10.5,159,0,0.8,14.4
Ryan Whalen,CIN,0,0,0,9,110.5,0.5,0,14.1
Lavelle Hawkins,TB,0,0,0,11.3,137,0,0,13.7
Kealoha Pilares,CAR,0,0,0,8.3,129.8,0,0,13
Seyi Ajirotutu,SD,0,0,0,6,84,0.8,0,12.9
Josh Boyce,NE,0,0,0,7.5,88.5,0.5,0,11.9
Armon Binns,MIA,0,0,0,9,115.5,0,0,11.6
Damaris Johnson,PHI,0,0,0,9.4,111.3,0.4,1,11.4
Anthony Armstrong,CLE,0,0,0,4.5,64.5,0.8,0,11
TJ Jones,DET,0,0,0,8,109,0,0,10.9
Tandon Doss,JAC,0,0,0,8.3,108.8,0,0,10.9
Dwayne Harris,DAL,0,0,0,7.9,84.8,0.4,0,10.7
Rodney Smith,MIN,0,0,0,6.8,99.8,0,0,10
Lestar Jean,MIN,0,0,0,6,92.3,0,0,9.2
Deonte Thompson,BAL,0,0,0,9,86.3,0,0,8.6
Brittan Golden,ARI,0,0,0,6,85.5,0,0,8.6
Clyde Gates,NYJ,0,0,0,8.3,84,0,0,8.4
Kevin Dorsey,GB,0,0,0,6,84,0,0,8.4
Naaman Roosevelt,BUF,0,0,0,6,83.3,0,0,8.3
Adam Thielen,MIN,0,0,0,6.8,82.5,0,0,8.3
Michael Campanaro,BAL,0,0,0,6,73.5,0,0,7.4
Nick Williams,PIT,0,0,0,6,72.8,0,0,7.3
Terrence Toliver,CHI,0,0,0,5.3,65.3,0,0,6.5
Ryan Grant,WAS,0,0,0,5.3,65.3,0,0,6.5
Jeff Maehl,PHI,0,0,0,5.5,64.5,0,0,6.5
Marvin McNutt,CAR,0,0,0,3.8,61.5,0,0,6.2
Michael Preston,TEN,0,0,0,5.5,60.5,0,0,6.1
Eric Weems,ATL,0,0,0,6,58.5,0,0,5.9
Tommy Streeter,TB,0,0,0,3.8,57,0,0,5.7
Andy Tanner,NO,0,0,0,3.8,57,0,0,5.7
Kamar Aiken,BAL,0,0,0,3.8,54.8,0,0,5.5
Russell Shepard,TB,0,0,0,4.5,54,0,0,5.4
Jeremy Ross,DET,0,0,0,3.8,48.8,0,0,4.9
Brandon Tate,CIN,0,0,0,5.3,65.3,0,1,4.5
Brad Smith,PHI,0,0,0,3,40.5,0,0,4.1
Pat Edwards,DET,0,0,0,3,39.8,0,0,4
Eric Page,TB,0,0,0,3,51,0,0.8,3.6
Kassim Osgood,SF,0,0,0,2.3,32.3,0,0,3.2
Corey Fuller,DET,0,0,0,2.3,32.3,0,0,3.2
Marc Mariani,TEN,0,0,0,2.3,27.8,0,0,2.8
